Tanggal;Jenis Pintu Masuk;Provinsi Pintu Masuk;Nama Pintu Masuk;Benua;Kebangsaan;Jumlah Wisatawan Mancanegara
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Eropa;Belanda;2262
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Eropa;Inggris;3241
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Eropa;Rusia;755
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Eropa;Eropa Lainnya;6803
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Amerika;Amerika Serikat;7034
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Amerika;Kanada;1572
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Amerika;Brasil;335
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Amerika;Meksiko;84
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Amerika;Amerika Lainnya;599
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Oseania;Australia;6752
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Oseania;Selandia Baru;591
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Oseania;Papua Nugini;15
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Oseania;Oseania Lainnya;28
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Afrika;Afrika Selatan;247
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Afrika;Afrika Lainnya;1163
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Malaysia;4603
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Filipina;158
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Singapura;1873
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Thailand;272
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Vietnam;118
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Hong Kong;0
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;India;406
